Hotel Name,Hotel Address,Hotel Rating,Author,Review Rating,Review Title,Review Description,type,Date,Response
,,,Palak,5.0,Women’s day lunch,"A special lunch at Table 101 was a pleasant experience. The staff was very friendly and Mr. Abhishek was extremely helpful and polite. Must visit for a wonderful experience and a quiet, cosy ambience.",,March 2021,"Dear Palak,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Abhishek and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,RRamesh,4.0,A COVID time visit to Surat,"Another business trip to Surat and I was not comfortable travelling considering that the Corona pandemic had still not fully abated.   That notwithstanding, I chose the Marriott Surat as I had not stayed here earlier. Surprisingly, I got a better deal talking directly to the hotel reservation than what I was getting through the Marriott app. The hotel is an old property which was earlier the Holiday Inn and the Taj at some stage before becoming the Marriott a few years back. However, it has been renovated recently and the rooms are nice. On this visit unlike what I normally do, I decided not to click so many photographs of my room and instead focus more on the hotel grounds and the very people that make this hotel tick.  Mr Sheikh the travel desk manager was helpful in…",,March 2021,"Dear Mr. Radhakrishnan,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Shaikh, Sagar, Bansi, Fitnesty, Nikita, Kuldeep, Ravi Ranjan, Dhwani, Drishti, Aman, Chef Thapa, Martha, Salman, Sushant, Lisa, Marry, Bhushan, Pooja & Chhaya and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Kishor,5.0,Very nice experience,Overall experience was excellent. Especially Cheff Thapa was very good. We get to taste different varieties of Rajasthan Food as food fest was going on. Staff was equally good and kind. I'll surely recommend.,,March 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com  "
,,,Cyril Cyriac,5.0,Appreciate Room service.,Superb Service by Ankit. Polite and good in his work. From day 1 he has been around looking after us. Surprised by his humble nature. I wish him the very best in future too. Please keep up the good work.,,March 2021,"Dear Mr. Cyril,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Ankit and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Andy,5.0,Bon voyage with Marriott Surat,"It's a amezing experience at Marriott. Rooms having river view and in moon light it's looks so beautiful. The best part of my recent trip food and staff at Restaurant. They feel you like a VIP guest. Special thanks to Chef Thapa, Ravi and Nikita..... looking forward to visit again as when new asian restaurant will open.",,March 2021,"Dear Mr. Adhikari,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Nikita, Ravi & Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Kheem singh,5.0,Fabulous,"We are extremely grateful to courtyard Marriott Surat for making our stay pleasant and keeping us safe during this pandemic time. I would like to thank Mr Sajan,  Jeet, jainisha , mohit for a great service extended towards us.",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services at our other property Courtyard by Marriott. Thank you so much for your valuable feedback. I have conveyed your compliments to Courtyard team especially Janisha, Sajan, Jeet & Mohit and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,ujwal k,5.0,Gym trainer (SALMAN),I've been here on 26th and 27th of February. All the services are up to the mark specially the gym trainer SALMAN this guy is a gem of a person. Being a fitness enthusiast I really care about my physique. Staying here in Surat for two days made a big question in my mind regarding my workout and this guy was the solution. He helped me in doing my workout efficiently. Had amazing workout sessions with SALMAN. He is having all the knowledge regarding a good workout. If you are going to stay there do visit the gym and enjoy the amazing workout with SALMAN. Thank you SALMAN sir for amazing workout sessions :),,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Anjali Kulkarni,4.0,Pleasant Experience,"It is always a great place to stay. I usually come here for the business purposes and stay here but this time it was a family trip and we chose  to stay here.  Ambiance, cleanliness and good service overall. Ms. Aarti Sawant was keeping my room during these days and she was very dedicated in her work. She was neat and clean expert of her work. Thanks to her for her support. Good job done!!  Would love to stay here again, just a suggestion with food may be you can have more variety for in room dining.   All the best!!",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Aarti Sawant and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Nidhi sharma,4.0,Food,It was a great experience   We tried all cuisine Mexican Indian food and Italian as well   Chef thapa  Serving person mr. Mayank and Ravi provided great service and amazing taste of food. Awsome food......,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Mayank, Ravi & Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,DAO,5.0,Anniversary Dinner,Extra ordinary food.. Delicious cuisine..it was great and the service as well amit was very kind and helpful and Mary had a great smile and take care of my childrens they are very good thank u Marriott and chef thapa he is kind and helpful,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Parth,5.0,BCCI matches,"Excellent service by f&b team Mr sikandar ,harsht,monu trainee and kitchen staff shivnath, mostly the service staff is really very friendly and very helpfull specially sikandar and Harshit. Hoping to visit very soon and expecting the same hospitality from the staff. Also expecting a upraisal to the current staff mentioned!",,February 2021,"Dear Parth,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Sikander, Harshit, & Monu and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Rushik,5.0,Fitness trainer (mr. Salman),Stay was wonderful in hotel as special i am fitness oriented person so i am happy to get excellent guidance from mr. Salman who guide me with great knowledge of training which was the best part of my stay.  Thanks to mr.salman 💪 Rushik,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Vipin Yadav,5.0,About gym trainer Mr salman,First of all gym is fully equipped and the most appreciating was the gym trainer with vast knowledge about techniques to do the exercise as well as diet to follow.  What I believe is the guidance under which you improve yourself and Mr. Salman is the best trainer I have ever met.,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Hiren Vepari,5.0,Hiren Vepari,Excellent service. Excellent food. Amit was very warm and helpful.   Marriott has always given best possible. The chef went out of the way to service beyond Menu. Loved the ambience and the quietness.  Have always been recommending.,,February 2021,"Dear Mr. Vepari,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Anant,5.0,Lovely Stay! Very nice hospitality!,"We had a very good time at the Surat Marriott. Everything about it has been top notch, despite the ongoing Covid. Plus, very nice hospitality and very nice gesture of checking in with every guest, especially from Ms Mary, Fitnesty and Nikita. 😃",,February 2021,"Dear Anant,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Mary, Fitnesty & Nikita and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Terry,5.0,Good to stay here,"It was good to stay here in Marriott Surat. Especially I appreciate Ms. Mary and Ms. Nikita, Mr. Nirav for the kindness. Food was great and service was perfect. I will be staying at this hotel next time again.",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Mary, Nikita & Nirav and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Satender kumar,5.0,Table 101,I enjoying my stay here good food and good atmosphere room service is good and deliver on time And buffet breakfast is good and the server's is so good and so professional specially mr ravi is so good.,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Ravi and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,GS,5.0,TABLE 101,"The service is excellent as expected from Marriott, the staff is very friendly and efficient,  MR RAVI SUBBA and the team is very nice. Everything is very good the feel is awesome.  This is my 3rd visit in the hotel and the 3rd time it's the same experience as it was my first .  Thank you Ⓜ️♏",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Ravi and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Rahul Kamble,5.0,Breakfast table 101,Food quality was amazing and Mr. Ravi Sunna & Mayank helped us During breakfast with excellent service. Service was quick and the ambience was pleasant. View from the restaurant was great too. Keep up the good work.,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Ravi & Mayank and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Deepak shukla,5.0,Experience,"Dear Marriott,  Table no 101 on morning 20-02-2021 Ravi Subba was very helpful and dedicated staff. Serve nicely and taking care of guest very gracefully. Hot chocolate was delicious 😋  Kudos for him 👏😊",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Ravi and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Darshan Dhanani,5.0,surat made comfortable,"The stay was very comfortable at surat, Checked in late but the team here was of excellent support to me. The breakfast was also very nice and if you are visiting one must try their cookies for sure. All in all a very good stay here. Chef Thapa and Miss Nikita made the breakfast a whole more pleasurable for me.  Thank you Surat Marriott.👍🏻",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Nikita & Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Yash,5.0,Awsome dinner date,Chef Thapa  Miss Nikita  Miss Mary  It was a fabulous experience !! All the dishes were great in taste and presented very well. Service was also up to date . Every thing was nice and more than what we expected,,February 2021,"Dear Yash,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Nikita, Mary & Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Anil,5.0,Great service and food,It was great indeed here in surat Marriott. I came with my family  here for dinner the food was excellent and the staff was  incredible  specially  thanks to Miss Nikita and Mary for welcoming  us hopefully we will  came back again,,February 2021,"Dear Mr. Agarwal,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Mary & Nikita and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Manoj,5.0,Fabulous lunch,Awesome brunch at table 101 food was Good I love the buffet options I would love to visit again especially on Sunday Marriott hotel is the one of the best brunch they have and all staff was good kind and helpful thanks to Mayank Nikita and amit they took a special care thank you,,February 2021,"Dear Manoj,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Nikita & Mayank and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Irfan Hussain,4.0,Our stay at Surat Mariott,"We happened to stay over the Valentine’s Day weekend. When Mary learnt that 14th February is also my wife’s birthday she went out of her way to make her feel special by arranging a small ceremony at breakfast with the restaurant staff in attendance. That was such a lovely gesture on her part.  Our stay was very comfortable although we found that the room was beginning to look a bit run down. Courtesy extended by the hotel staff was beyond reproach, so no complaints on that score.  One negative that stuck in our throat was the chicken club sandwich we ordered in our room. It was probably the worst we’ve ever had .... hardly any taste and rather smelly.  The Pan Asian food we enjoyed. Chef Thapar, who was very helpful, mentioned that we could look forward to dining at a pan Asian…",,February 2021,"Dear Irfan,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Shreya Mathur,5.0,Dinner,Totally delighted by the services. So glad that we had Dhruv Maisuriya and Sonali serving us. Since we have a particular diet they took care of the calories so well. Literally impressed by the services.,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Sonali & Dhruv and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Pankaj,5.0,Thanks aarti for room clean,She is very expert and experienced in her work . Very humble towards me as well her service. Thanks to aarti who made my room clean.she was so nice and very hardworking. She know her work very well . Thanks to Aayushi as well.,,February 2021,"Dear Mr. Kumar,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Aarti & Aayushi and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Pushpak patel,5.0,Awesome food quality at marriot,Food quality was awesome and chaff thapa has excellent knowledge about food and quality.  Starter quality was awesome  Main course also delicious  Also thafa special tea was good Other staff members was also polite and cooperative.,,February 2021,"Dear Mr. Pushpak,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Denish Lekhadia,5.0,Sudden plans.,Made dinner plans at Marriott for dinner on our wedding anniversary. Had a warm welcome by the staff. The ambience is beautiful here. We thoroughly enjoyed the food. And to serve us and make us feel comfortable I would like to thank Nikita and Thapa. Overall a beautiful experience. Looking forward to visit again.,,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Nikita & Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Rosario,5.0,Grand dinner at Marriott,Had the opportunity for a  sumptuous dinner with ever smiling and helpful Chef Thapa and Ms. Nikita. Even though the restaurant was full the staff was very courteous. I would say a professionally managed restaurant.,,February 2021,"Dear Mr. Rosario,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Nikita & Chef Thapa and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,vaibhav,5.0,Five star gym training,Very well exercise done by salman sir. First time i saw this type of exercise it real works on my body . I met him in hotel marriott surat . He is very professional person thanks to salman bhai .  Frim:- Vaibhav,,February 2021,"Dear Vibhav,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Sreekumar,5.0,Gym trainer Salman,"Surat Marriott has a perfect gym and even more perfect gym trainer viz. Mr Salman. One among the best professional gym trainer that I have come across. His session plans aligns with your body type, age and endurance. Pertinent to mention that the stretches recommended by him really eases the body. All together, a perfect five star trainer.",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Trek42819159814,5.0,About Gym Trainer Salman,"Mr Salman (Marriot Gym trainer) is having an outstanding knowledge of workout 🏋️‍♀️ and very much friendly while taking session with clients also helps him to understand every minutes of that workout and it’s effect, thx for such a superb workout session ...!!",,February 2021,"Dear Guest,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
,,,Iain,4.0,Gym trainer Salman,"I have stayed in the Surat Marriott hotel for over 1 year and recently started to use the trainer in the gym, first class guy, very informative and very experienced, I never knew i had been training so wrong, now i really enjoy and look forward to going every night highly recommended with excellent knowledge",,February 2021,"Dear Iain,  Greetings from Surat Marriott Hotel!  We are delighted to know that you overall enjoyed our hospitality, food, and services. Thank you so much for your valuable feedback. I have conveyed your compliments with my team especially Salman and it has been a tremendous source of inspiration.  It is our earnest endeavor to ensure that our guests have a most enjoyable visit with us and I am glad that you have carried with you happy memories. Appreciation such as yours increases our motivation to achieve the expectations that our guests have of us.  We are grateful for your recommendation and do hope you will continue to provide us with more opportunities to be of service.  Warm regards Amit Mehta Area Director and General Manager Surat Marriott Hotel Email: amit.mehta2@marriott.com"
